LSTM Multi-Step Ahead Prediction
Configuration:
  Lookback window (K): 10 timesteps
  Prediction horizon (N): 10 timesteps
  Input features: 9
  Output features: 3
  Epochs: 1000
  Random seed: 42

Data/Quadcopter_Datasets/all_combined_reordered.csv rows: 21164 Cols: 9 (21164x9)
Number of training samples: 21145 after removing windowSize and loopback
Converted eigen matrix to Tensor
Tensor shape: [21164, 9]
Data standardized successfully.
Angles tensor shape: [21164, 3]

Data Shapes
X (inputs):  [21145, 10, 9]
y (targets): [21145, 10, 3]
Train: 16916 samples | Val: 4229 samples (80/20 split)

Model Created
Architecture: Input(9) -> LSTM(128) -> Attention -> FC(30)

Training Configuration
Batch size: 64
Epochs: 1000
Learning rate: 0.001
Optimizer: Adam
Loss function: torch::nn::MSELossImpl

Starting Training
  -- Saved model: lstm_model_epoch_500.pt
Epoch 500 | Train Loss: 0.008636 | Val Loss: 0.017806
Epoch 505 | Train Loss: 0.008779 | Val Loss: 0.023528
Epoch 510 | Train Loss: 0.008520 | Val Loss: 0.016465
Epoch 515 | Train Loss: 0.008656 | Val Loss: 0.017768
Epoch 520 | Train Loss: 0.008844 | Val Loss: 0.017265
Epoch 525 | Train Loss: 0.008637 | Val Loss: 0.019514
Epoch 530 | Train Loss: 0.008653 | Val Loss: 0.017837
Epoch 535 | Train Loss: 0.008631 | Val Loss: 0.019137
Epoch 540 | Train Loss: 0.008684 | Val Loss: 0.016401
Epoch 545 | Train Loss: 0.008591 | Val Loss: 0.019773
Epoch 550 | Train Loss: 0.008636 | Val Loss: 0.019143
Epoch 555 | Train Loss: 0.008545 | Val Loss: 0.018407
Epoch 560 | Train Loss: 0.008678 | Val Loss: 0.015635
Epoch 565 | Train Loss: 0.008611 | Val Loss: 0.020494
Epoch 570 | Train Loss: 0.008556 | Val Loss: 0.013764
Epoch 575 | Train Loss: 0.008595 | Val Loss: 0.017530
Epoch 580 | Train Loss: 0.008594 | Val Loss: 0.016708
Epoch 585 | Train Loss: 0.008605 | Val Loss: 0.019595
Epoch 590 | Train Loss: 0.008534 | Val Loss: 0.017098
Epoch 595 | Train Loss: 0.008629 | Val Loss: 0.017635
  -- Saved model: lstm_model_epoch_600.pt
Epoch 600 | Train Loss: 0.008575 | Val Loss: 0.019523
Epoch 605 | Train Loss: 0.008516 | Val Loss: 0.018212
Epoch 610 | Train Loss: 0.008657 | Val Loss: 0.020846
Epoch 615 | Train Loss: 0.008582 | Val Loss: 0.018830
Epoch 620 | Train Loss: 0.008538 | Val Loss: 0.019484
Epoch 625 | Train Loss: 0.008546 | Val Loss: 0.015573
Epoch 630 | Train Loss: 0.008461 | Val Loss: 0.018434
Epoch 635 | Train Loss: 0.008556 | Val Loss: 0.022554
Epoch 640 | Train Loss: 0.008643 | Val Loss: 0.018112
Epoch 645 | Train Loss: 0.008486 | Val Loss: 0.020436
Epoch 650 | Train Loss: 0.008543 | Val Loss: 0.016433
Epoch 655 | Train Loss: 0.008598 | Val Loss: 0.018864
Epoch 660 | Train Loss: 0.008606 | Val Loss: 0.017532
Epoch 665 | Train Loss: 0.008513 | Val Loss: 0.019347
Epoch 670 | Train Loss: 0.008576 | Val Loss: 0.020284
Epoch 675 | Train Loss: 0.008512 | Val Loss: 0.020112
Epoch 680 | Train Loss: 0.008670 | Val Loss: 0.019702
Epoch 685 | Train Loss: 0.008539 | Val Loss: 0.019516
Epoch 690 | Train Loss: 0.008483 | Val Loss: 0.021135
Epoch 695 | Train Loss: 0.008564 | Val Loss: 0.018267
  -- Saved model: lstm_model_epoch_700.pt
Epoch 700 | Train Loss: 0.008579 | Val Loss: 0.021385
Epoch 705 | Train Loss: 0.008578 | Val Loss: 0.018356
Epoch 710 | Train Loss: 0.008480 | Val Loss: 0.024004
Epoch 715 | Train Loss: 0.008508 | Val Loss: 0.026114
Epoch 720 | Train Loss: 0.008443 | Val Loss: 0.019391
Epoch 725 | Train Loss: 0.008543 | Val Loss: 0.020388
Epoch 730 | Train Loss: 0.008478 | Val Loss: 0.015998
Epoch 735 | Train Loss: 0.008453 | Val Loss: 0.020304
Epoch 740 | Train Loss: 0.008439 | Val Loss: 0.019209
Epoch 745 | Train Loss: 0.008444 | Val Loss: 0.018541
Epoch 750 | Train Loss: 0.008506 | Val Loss: 0.022595
Epoch 755 | Train Loss: 0.008384 | Val Loss: 0.019147
Epoch 760 | Train Loss: 0.008406 | Val Loss: 0.019552
Epoch 765 | Train Loss: 0.008501 | Val Loss: 0.018577
Epoch 770 | Train Loss: 0.008382 | Val Loss: 0.026250
Epoch 775 | Train Loss: 0.008356 | Val Loss: 0.016462
Epoch 780 | Train Loss: 0.008462 | Val Loss: 0.017740
Epoch 785 | Train Loss: 0.008509 | Val Loss: 0.020666
Epoch 790 | Train Loss: 0.008439 | Val Loss: 0.019816
Epoch 795 | Train Loss: 0.008443 | Val Loss: 0.018853
  -- Saved model: lstm_model_epoch_800.pt
Epoch 800 | Train Loss: 0.008290 | Val Loss: 0.021607
Epoch 805 | Train Loss: 0.008357 | Val Loss: 0.021191
Epoch 810 | Train Loss: 0.008510 | Val Loss: 0.021466
Epoch 815 | Train Loss: 0.008388 | Val Loss: 0.022097
Epoch 820 | Train Loss: 0.008542 | Val Loss: 0.023632
Epoch 825 | Train Loss: 0.008407 | Val Loss: 0.020445
Epoch 830 | Train Loss: 0.008490 | Val Loss: 0.019693
Epoch 835 | Train Loss: 0.008367 | Val Loss: 0.016020
Epoch 840 | Train Loss: 0.008332 | Val Loss: 0.018457
Epoch 845 | Train Loss: 0.008242 | Val Loss: 0.021666
Epoch 850 | Train Loss: 0.008317 | Val Loss: 0.021056
Epoch 855 | Train Loss: 0.008392 | Val Loss: 0.019358
Epoch 860 | Train Loss: 0.008369 | Val Loss: 0.019213
Epoch 865 | Train Loss: 0.008395 | Val Loss: 0.019121
Epoch 870 | Train Loss: 0.008493 | Val Loss: 0.018530
Epoch 875 | Train Loss: 0.008340 | Val Loss: 0.021016
Epoch 880 | Train Loss: 0.008416 | Val Loss: 0.020383
Epoch 885 | Train Loss: 0.008383 | Val Loss: 0.019188
Epoch 890 | Train Loss: 0.008355 | Val Loss: 0.020020
Epoch 895 | Train Loss: 0.008381 | Val Loss: 0.023563
  -- Saved model: lstm_model_epoch_900.pt
Epoch 900 | Train Loss: 0.008321 | Val Loss: 0.020515
Epoch 905 | Train Loss: 0.008301 | Val Loss: 0.019069
Epoch 910 | Train Loss: 0.008284 | Val Loss: 0.023096
Epoch 915 | Train Loss: 0.008298 | Val Loss: 0.020186
Epoch 920 | Train Loss: 0.008398 | Val Loss: 0.020854
Epoch 925 | Train Loss: 0.008297 | Val Loss: 0.022274
Epoch 930 | Train Loss: 0.008298 | Val Loss: 0.021094
Epoch 935 | Train Loss: 0.008280 | Val Loss: 0.017906
Epoch 940 | Train Loss: 0.008322 | Val Loss: 0.020784
Epoch 945 | Train Loss: 0.008314 | Val Loss: 0.019260
Epoch 950 | Train Loss: 0.008376 | Val Loss: 0.017735
Epoch 955 | Train Loss: 0.008373 | Val Loss: 0.021897
Epoch 960 | Train Loss: 0.008315 | Val Loss: 0.021636
Epoch 965 | Train Loss: 0.008353 | Val Loss: 0.018527
Epoch 970 | Train Loss: 0.008246 | Val Loss: 0.022157
Epoch 975 | Train Loss: 0.008179 | Val Loss: 0.020461
Epoch 980 | Train Loss: 0.008130 | Val Loss: 0.021280
Epoch 985 | Train Loss: 0.008347 | Val Loss: 0.023779
Epoch 990 | Train Loss: 0.008500 | Val Loss: 0.020719
Epoch 995 | Train Loss: 0.008300 | Val Loss: 0.021840
Epoch 999 | Train Loss: 0.008224 | Val Loss: 0.020584
  -- Saved model: lstm_model_epoch_1000.pt

Training Complete
Elapsed(s) = 2996
=== Training Metrics (16916 samples) ===
Overall Metrics:
  RMSE (all): 0.005413 rad = 0.310 deg
  MAE  (all): 0.003999 rad = 0.229 deg

RMSE per angle (all samples, all steps):
  Roll  RMSE: 0.005945 rad = 0.341 deg 
  Pitch RMSE: 0.004656 rad = 0.267 deg 
  Yaw   RMSE: 0.005557 rad = 0.318 deg

RMSE per step
Step | Roll (deg) | Pitch (deg) | Yaw (deg)
-----+------------+-------------+-----------
   1 |   0.249455 |    0.198169 |  0.280630
   2 |   0.272697 |    0.189048 |  0.274055
   3 |   0.289719 |    0.195766 |  0.275903
   4 |   0.305094 |    0.210012 |  0.285928
   5 |   0.321293 |    0.229915 |  0.298831
   6 |   0.340874 |    0.252095 |  0.313361
   7 |   0.354106 |    0.275060 |  0.327401
   8 |   0.367011 |    0.304467 |  0.340542
   9 |   0.397850 |    0.342122 |  0.362823
  10 |   0.457015 |    0.390253 |  0.399439

=== Validation Metrics (4229 samples) ===
Overall Metrics:
  RMSE (all): 0.019534 rad = 1.119 deg
  MAE  (all): 0.013739 rad = 0.787 deg

RMSE per angle (all samples, all steps):
  Roll  RMSE: 0.024703 rad = 1.415 deg 
  Pitch RMSE: 0.019763 rad = 1.132 deg 
  Yaw   RMSE: 0.011998 rad = 0.687 deg

RMSE per step
Step | Roll (deg) | Pitch (deg) | Yaw (deg)
-----+------------+-------------+-----------
   1 |   0.461222 |    0.868516 |  0.717719
   2 |   0.584798 |    0.888176 |  0.730357
   3 |   0.743966 |    0.919425 |  0.733666
   4 |   0.951163 |    0.960621 |  0.711800
   5 |   1.138341 |    1.030236 |  0.687390
   6 |   1.353384 |    1.120677 |  0.654893
   7 |   1.590862 |    1.207101 |  0.655994
   8 |   1.820375 |    1.294346 |  0.649853
   9 |   2.029522 |    1.383169 |  0.655236
  10 |   2.220080 |    1.465639 |  0.670085

